7,5
11,10
17,12
31,28
41,37
61,55
71,64
97,68
101,91
131,118
151,136
181,163
191,172
211,190
241,217
251,226
271,244
281,253
311,280
331,298
401,361
421,379
431,388
461,415
491,442
521,469
541,487
571,514
601,541
631,568
641,577
661,595
691,622
701,631
751,676
761,685
811,730
821,739
881,793
911,820
941,847
971,874
991,892
1021,919
1031,928
1051,946
1061,955
1091,982
1151,1036
1171,1054
1181,1063
1201,1081
1231,1108
1291,1162
1301,1171
1321,1189
1361,1225
1381,1243
1451,1306
1471,1324
1481,1333
1511,1360
1531,1378
1571,1414
1601,1441
1621,1459
1721,1549
1741,1567
1801,1621
1811,1630
1831,1648
1861,1675
1871,1684
1901,1711
1931,1738
1951,1756
2011,1810
2081,1873
2111,1900
2131,1918
2141,1927
2161,1945
2221,1999
2251,2026
2281,2053
2311,2080
2341,2107
2351,2116
2371,2134
2381,2143
2411,2170
2441,2197
2521,2269
2531,2278
2551,2296
2591,2332
2621,2359
2671,2404
2711,2440
2731,2458
2741,2467
2791,2512
2801,2521
2851,2566
2861,2575
2971,2674
3001,2701
3011,2710
3041,2737
3061,2755
3121,2809
3181,2863
3191,2872
3221,2899
3251,2926
3271,2944
3301,2971
3331,2998
3361,3025
3371,3034
3391,3052
3461,3115
3491,3142
3511,3160
3541,3187
3571,3214
3581,3223
